index,origi,name,is_slack,area,lat,lon,n_neighbors,nominal_voltage_kv
710,5779,36059405200,0,7,40.701,-73.693,2,138
711,5782,36059405400,0,7,40.699,-73.685,2,138
712,5783,36059405500,0,7,40.703,-73.672,2,138
713,5784,36059405600,0,7,40.696,-73.673,2,138
714,5785,36059405700,0,7,40.687,-73.678,1,138
715,5788,36059406001,0,7,40.701,-73.654,2,138
716,5790,36059406100,0,7,40.708,-73.647,2,138
717,5798,36059406702,0,7,40.711,-73.635,2,138
718,5799,36059406801,0,7,40.711,-73.627,3,138
719,5800,36059406802,0,7,40.713,-73.622,2,138
720,5801,36059406900,0,7,40.716,-73.614,2,138
721,5808,36059407301,0,7,40.732,-73.598,4,230
722,5809,36059407302,0,7,40.715,-73.589,1,138
723,5811,36059407402,0,7,40.703,-73.583,2,138
724,5813,36059407502,0,7,40.694,-73.588,1,138
725,5815,36059407700,0,7,40.736,-73.568,3,138
726,5816,36059407801,0,7,40.737,-73.548,2,138
727,5817,36059407802,0,7,40.732,-73.553,2,138
728,5818,36059407900,0,7,40.707,-73.575,2,138
729,5819,36059408000,0,7,40.715,-73.568,2,138
730,5821,36059408200,0,7,40.719,-73.554,2,138
731,5836,36059409700,0,7,40.697,-73.506,1,138
732,5846,36059410700,0,3,40.653,-73.696,2,138
733,5847,36059410800,0,3,40.653,-73.707,2,138
734,5848,36059410900,0,3,40.656,-73.719,4,138
735,5849,36059411000,0,3,40.623,-73.749,4,138
736,5851,36059411200,0,3,40.625,-73.728,1,138
737,5857,36059411700,0,3,40.642,-73.694,2,138
738,5860,36059411902,0,3,40.651,-73.683,2,138
739,5862,36059412100,0,3,40.646,-73.666,3,138
740,5866,36059412400,0,7,40.661,-73.642,1,138
741,5873,36059413002,0,7,40.636,-73.653,2,138
742,5875,36059413200,0,7,40.631,-73.643,2,138
743,5877,36059413400,0,7,40.627,-73.628,2,230
744,5901,36059415102,0,7,40.647,-73.558,1,138
745,5915,36059416300,0,3,40.589,-73.724,2,138
746,5916,36059416401,0,3,40.587,-73.696,2,138
747,5918,36059416500,0,3,40.591,-73.669,2,138
748,5928,36059517200,0,7,40.856,-73.63,2,138
749,5932,36059517500,0,7,40.828,-73.635,2,138
750,5934,36059517701,0,7,40.834,-73.563,2,138
751,5935,36059517705,0,7,40.808,-73.577,4,138
752,5940,36059518000,0,7,40.865,-73.533,5,138
753,5942,36059518201,0,7,40.859,-73.492,2,138
754,5943,36059518203,0,7,40.827,-73.47,2,138
755,5944,36059518204,0,7,40.807,-73.471,2,138
756,5953,36059519000,0,7,40.752,-73.54,2,138
757,5955,36059519200,0,7,40.753,-73.514,2,138
758,5956,36059519300,0,7,40.766,-73.514,1,138
759,5959,36059519601,0,7,40.78,-73.498,2,138
